generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1759724472-t7VYX0yBRhpzPtJhlSWS,2025-10-06 04:21:12.420,0.005214,,0.000845,0,0,16921,111,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,108,1385,,VSC3
gen-1759724468-1seWWJaA2W4ico2n7wBS,2025-10-06 04:21:08.267,0.000039,,,0,0,81,15,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,173,446,,VSC3
gen-1759724466-jFe4FEIppHyPT02BIVMJ,2025-10-06 04:21:06.541,0.000162,,,0,0,555,19,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,137,429,,VSC3
gen-1759724465-aW3xNx61oICYFXafGfX4,2025-10-06 04:21:05.915,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,5,1108,,VSC3
gen-1759724464-dKeJfkRlZQAnjluIcgMw,2025-10-06 04:21:04.762,0.001768,,,,0,15137,638,581,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,6129,1895,,VSC3
gen-1759724463-gjGtibT3Bv3bM4MWqrsS,2025-10-06 04:21:03.054,0.000204,,,0,0,734,17,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,153,533,,VSC3
gen-1759724459-HaWD4AHcy5D2XDoux8Os,2025-10-06 04:20:59.416,0.000307,,,0,0,1166,13,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,110,783,,VSC3
gen-1759724458-hql5Q7LY9AW6f9jPKR7r,2025-10-06 04:20:58.301,0.000049,,,0,0,87,22,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,140,546,,VSC3
gen-1759724457-TigmRNd0rWuBBd24Ol10,2025-10-06 04:20:57.658,0.000034,,,0,0,89,10,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,122,387,,VSC3
gen-1759724455-jHJIMTAhd9kUosuOt2DV,2025-10-06 04:20:55.001,0.000039,,,0,0,81,15,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,80,489,,VSC3
gen-1759724453-eXCivJdmA2CIJK8aXuf9,2025-10-06 04:20:53.137,0.000178,,,0,0,639,15,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,175,451,,VSC3
gen-1759724451-qLHw1FSuxBFymAq1xbKb,2025-10-06 04:20:51.406,0.000173,,,0,0,648,9,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,77,440,,VSC3
gen-1759724449-qlrDGzLTOcq4YWh4VixZ,2025-10-06 04:20:49.597,0.000087,,,0,0,288,12,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,79,448,,VSC3
gen-1759724447-Kotly7SHjnFH51cLcB4C,2025-10-06 04:20:47.517,0.000219,,,0,0,808,14,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,40,665,,VSC3
gen-1759724445-avuGeoNcYZjcoAVXjsSZ,2025-10-06 04:20:45.362,0.000238,,,0,0,903,10,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,0,502,,VSC3
gen-1759724443-OyONQdCO0k0QE9FCLMOJ,2025-10-06 04:20:43.321,0.000157,,,0,0,553,15,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,112,422,,VSC3
gen-1759723565-ViswSNAmJRLfmvYO0XNY,2025-10-06 04:06:05.155,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,25,1394,,VSC3
gen-1759723562-fwHuvoUrl3bqZZKk0bYb,2025-10-06 04:06:02.699,0.009057,,,,0,90574,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,1634,1631,,VSC3
gen-1759723540-f2eW6yywDMtAKkA0cMn6,2025-10-06 04:05:40.662,0.00215,,-0.003536,0,0,20483,453,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,2444,1633,,VSC3
gen-1759723539-yxq2bq6ytt6pCtuMOOXI,2025-10-06 04:05:38.859,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,18,1304,,VSC3
gen-1759723520-PlFB8GA2EEq0sx4dOGo7,2025-10-06 04:05:20.069,0.005214,,0.000844,0,0,16894,117,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,tool_calls,tool_calls,334,1683,,VSC3
gen-1759723519-cR4Z8tl0tAx5xvrM9mWG,2025-10-06 04:05:19.195,0.002515,,,0,0,10057,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,77,1201,,VSC3
gen-1759723505-EblGprpB5ZDATewNDcHh,2025-10-06 04:05:04.977,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,16,1116,,VSC3
gen-1759723503-vIXl8e8h3hpxNDCyixPo,2025-10-06 04:05:03.748,0.008981,,,,0,87059,690,513,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,tool_calls,3494,1977,,VSC3
gen-1759723359-r7gx8IrgOG4ughO87pSW,2025-10-06 04:02:39.520,0.008995,,,,0,89257,174,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,3472,2586,,VSC3
gen-1759723346-tmHMFCq1XdGYktlvE7WD,2025-10-06 04:02:26.632,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,10,1101,,VSC3
gen-1759723345-VgiLOvY7HMSUvNhIzh3G,2025-10-06 04:02:25.753,0.009159,,,,0,86808,1196,1196,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6032,2916,,VSC3
gen-1759723317-kZWiOlg5RbHslNmBbWgp,2025-10-06 04:01:57.046,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,3,1185,,VSC3
gen-1759723314-pmiBDibC79hhnJfCtDHS,2025-10-06 04:01:54.521,0.008899,,,,0,86153,710,710,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,tool_calls,4473,2425,,VSC3
gen-1759723154-lqGgaB29QpNFLaYiAwqU,2025-10-06 03:59:14.134,0.000181,,,0,0,705,4,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,35,380,,VSC3
gen-1759723151-ov9uoo9zhFOgQyITfhle,2025-10-06 03:59:11.520,0.00018,,,0,0,702,4,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,0,402,,VSC3
gen-1759723145-nKXJ66YOnHPNp4OBcx3U,2025-10-06 03:59:05.700,0.000181,,,0,0,702,5,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,14,573,,VSC3
gen-1759723115-2wLW7GFh87CNeJlEtGQi,2025-10-06 03:58:35.044,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1140,,VSC3
gen-1759723111-efM1JlSJ5gXp6x6EZXua,2025-10-06 03:58:31.199,0.00903,,,,0,87880,605,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,3320,1193,,VSC3
gen-1759723080-xQg6FlfZO47yENQILUAv,2025-10-06 03:58:00.441,0.008611,,,,0,85043,269,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,2434,1398,,VSC3
gen-1759723079-yZpyvSqNk5hlBrNx7JAb,2025-10-06 03:57:58.823,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,4,1326,,VSC3
gen-1759700796-0td9Th7yxgMyZKXmYVsV,2025-10-05 21:46:36.798,0.000181,,,0,0,705,4,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,0,668,,VSC3
gen-1759700791-rTyeQqGISdwuXnsykTqb,2025-10-05 21:46:31.042,0.008504,,,,0,82713,583,504,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,4181,2514,,VSC3
gen-1759700785-nsXbmOYQYhGoVQljsxr2,2025-10-05 21:46:25.740,0.008486,,,,0,82713,537,537,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,3890,2464,,VSC3
gen-1759700784-s7LoS5pD6bxZ7qgFEGBZ,2025-10-05 21:46:24.811,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,9,1075,,VSC3
gen-1759700779-cl7IvdMazNENmOfK0nEk,2025-10-05 21:46:19.562,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,13,1133,,VSC3
gen-1759700777-JYU9nDVO6L1LpY8PEcRZ,2025-10-05 21:46:17.670,0.008613,,,,0,83632,626,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,2911,1057,,VSC3
gen-1759700772-ncZWsKFyq0GWyRDJGrsh,2025-10-05 21:46:12.200,0.008085,,,,0,80750,27,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,1608,1608,,VSC3
gen-1759700771-Qijw7zkUaVaFPLyEWfjl,2025-10-05 21:46:11.014,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1108,,VSC3
gen-1759700764-Wt458UwgqWFfTDIz507h,2025-10-05 21:46:04.645,0.007087,,,,0,70009,217,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,2550,1270,,VSC3
gen-1759700763-NFmmMG286yP8Rrqd8ne3,2025-10-05 21:46:03.222,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,13,1127,,VSC3
gen-1759700761-8kt16xzDPV12A9k11ff0,2025-10-05 21:46:01.218,0.000178,,,0,0,555,32,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,stop,stop,147,402,,VSC3
gen-1759700748-3DK3T3HJ8AhDDDA27xhm,2025-10-05 21:45:48.874,0.007549,,,,0,69593,1475,1383,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,8935,2242,,VSC3
gen-1759700747-khzgnQfB8OfPJuAHPNxP,2025-10-05 21:45:47.533,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,42,1105,,VSC3
gen-1759700729-PFf0SZsVrcwIzHoaDPfD,2025-10-05 21:45:29.945,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1369,,VSC3
gen-1759700727-vGyFTEN83aeuq3frnLB3,2025-10-05 21:45:27.692,0.007914,,,,0,68975,2542,1989,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,16435,2189,,VSC3
gen-1759700681-LUyOUWRfNxtXwYZZ65MG,2025-10-05 21:44:41.331,0.051807,,0.007781,0,0,155625,4096,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,25918,14056,,VSC3
gen-1759700668-o2mnxyVKSv3rmn6H2DHK,2025-10-05 21:44:28.482,0.016177,,,,0,156548,1307,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,10187,2515,,VSC3
gen-1759700667-YTYrS0EjkGZiEeeTUcgU,2025-10-05 21:44:27.330,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,0,1181,,VSC3
gen-1759700631-MlQWSppt1VkjCwykOKyN,2025-10-05 21:43:51.648,0.018791,,,,0,104766,20786,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,30193,2329,,VSC3
gen-1759700630-JuteNCetU7j3AfV1CwQv,2025-10-05 21:43:50.325,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,14,1109,,VSC3
gen-1759700624-BqtTXF6T1BSFvB8J9cqp,2025-10-05 21:43:44.719,0.010502,,,,0,104388,160,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,2206,1450,,VSC3
gen-1759700623-gkoJ6QBkpZVHlk6SsWwW,2025-10-05 21:43:43.577,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,9,1075,,VSC3
gen-1759700613-CZ75ah7iVyav48XIbs5Y,2025-10-05 21:43:33.519,0.007696,,,,0,72236,1181,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,tool_calls,5322,2357,,VSC3
gen-1759700612-yvz0YpLI6pMRpBNEwgCC,2025-10-05 21:43:32.201,0.002868,,,0,0,11469,1,0,anthropic/claude-3-haiku,Anthropic,standard,false,true,,length,length,10,1158,,VSC3
